,question,answer
27,"Попробую Здравствуйте, второй день не могу справится с заданием помогите пожалуйста Задание 2 из 2 Условие Напишите программу, которая выведет 1 + 2 + 3 = 6 как это выражение вывести в столбик? print (1,2,3, sep="" + "", end = "" = "") print(6) Так выходит только в строку",Здравствуйте! В параметре end нужно еще указать перенос на новую строку end = “ =\n”
28,"спасибо сейчас попробую print(1,2,3, sep = "" + "", end = ""=\n”) print(6) Вот так ? ничего не выходит","Да, только еще символ пробела перед знаком ="
29,"print(1,2,3, sep = "" + "", end = "" =\n ”) print(6) Так? Снова ошибка",Еще такой же символ переноса строки нужно добавить к параметру sep sep = “ +\n” Пробел после \n в end еще уберите
30,"спасибо, получилось. упустила это где - то",Самое главное — внимательность)
31,"😊ок print(1,2,3, sep = "" +\n "", end ="" =\n"") print(6) Программа показывает то же самое что и в задании, а ответ в телеграмме пишет не верный","Обратите внимание, что в самом конце каждой строки не должно быть пробелов. В Вашем случае в конце каждой строки есть пробел, нужно исправить sep sep = "" \n"""
32,"Не могу решить задачу “Напишите программу, которая выведет 1 + 2 + 3 = 6”","Добрый день! Вы задали вопрос по задаче “Напишите программу, которая выведет 1 + 2 + 3 = 6” Можно решить несколькими способами: выводить все в одном print или сделать несколько print Главное не потеряйте знаки пробела — система проверки очень чуствительна к этому Можете показать, какое решение у вас есть сейчас? Я попробую помочь детальнее"
33,"print(""1 + "") print(""2 + "") print(""3 ="") print(""6"") вот так написал. но хочу понять как сделать через sep и end","sep — отвечает за символ между переменными/значениями внутри print end — отвечает за окончание вывода print(""1 + “, ""2 + “, ""3 =“, “6”, sep=‘\n’)"
34,"понял. спасибо у меня сейчас 5 % скидка на тарифы. через несколько дней если куплю, скидка не пропадет?","Да, Алмаз, это Ваша постоянная скидка. Она несгораемая, закреплена за Вами. Чем больше проходите обучение, тем больше она становится"
35,Понял. Спасибо Добрый день. Хотел купить тариф. Куда и как отправить деньги?,Добрый день Вам нужно нажать на кнопку тарифы и выбрать нужный тариф После этого выйдет счет на оплату
36,"требует имя полностью, почту и номер телефона","Скиньте, пожалуйста, скрин экрана"
37,Это я вбил данные,"Здесь вам нужно ввести свои данные, так как уведомление об оплате придет вам на почту на ваше имя"
38,Аа. Понял Нажимаю заплатить Пишет вот так,"Сейчас, узнаем"
39,Окей,"В системе сбой возник, сейчас устраним Извините за временные неудобства 😊"
40,Ничего страшного,"Алмаз, посмотрите, пожалуйста, ещё раз правильность введенных вами данных"
41,Окей,И попробуйте ещё раз перезайти У нас в системе всё проходит Алмаз Пропишите команду /start и попробуйте заново произвести оплату
42,сейчас после команды старт все прошло спасибо,"Отлично Алмаз, добрый вечер! Возвращаемся к Вам с ответом на вопрос по задачи с шестизначным числом. Чтобы решить данную задачу, Вам потребуется взять каждое число по отдельности и далее найти сумму и произведение. Чтобы взять последнюю цифры, можно взять остаток от деления числа на 10, откинуть эту цифры и продолжить далее похожим образом. Вот начало кода. Предположим, число вы считали в переменную num : digit1 = num % 10 num = num // 10 digit2 = ... ..."
43,спасибо,"Обращайтесь, мы на связи) Алмаз, добрый день! Возвращаемся к Вам с ответом на вопрос по поводу задачи с числами в порядке возрастания. В данном задании разработчиками программы подразумевалось, что Вы будете использовать условные конструкции, как в предыдущих задачах. Однако в данном случае можно воспользоваться командой max(a,b,c...) и min(a,b,c...) , которые найдут максимальные и минимальные числа соответственно, а далее уже методом исключения находить таким же образом средние значения Сначала находится самое маленькое число (minimum) и самое большое число (maximum). Затем программа определяет два средних числа (middle1 и middle2). Это делается путем сравнения чисел между собой, чтобы выявить числа, которые не являются ни минимальным, ни максимальным. Эти средние числа находятся путем выбора максимума из минимумов первой пары чисел и минимума из максимумов второй пары. После этого программа находит второе по величине минимальное число (second_min) и второе по величине максимальное число (second_max). Это делается с помощью арифметических операций сравнения средних чисел с минимальным и максимальным значениями. В конце программа выводит все четыре числа в порядке возрастания, используя пробел в качестве разделителя. Это описание решения, используя команду min и max)"
44,"если решать с min и max, проблема в том, что я этого еще не прошел в вашем курсе. а если решать сравнивая числа, нужно 24 раза писать условие😁","На то это одна из заключительных задач в данном блоке) Можно пойти более сложным путем, если мы говорим про условия, не прописывать каждое отдельно, а написать сложенные условия. Условие внутри условия. Тогда условных конструкций будет в разы меньше"
45,понял. спасибо,"Алмаз, добрый день! Возвращаюсь с ответом на вопрос по задаче. В данной задаче понадобится воспользоваться методом isdigit(). Он возвращает True, если в строке все символы - числа. И False в противном случае"
46,"Проверяю по индексу число это или нет. Если окажется это числом, как вывести на консоль?","Здесь, мне кажется, будет удобнее не сразу выводить на экран, а лучше собрать все подходящие в список. И далее проверять, если список пустой, то выводим пустую строку. Иначе выводим данные в списке"
47,"Индивидуальное занятие сколько стоит если отдельно покупать? Понимание есть как это делать, но как добавлять в список я еще не знаю","Тогда лучше выводить сразу через команду print(a[i], end = “ “) И запустить счетчик, который будет считать, сколько элементов было выведено. Если счетчик будет равен нулю, то вывести пустую строку 1 занятие будет стоить 1490 руб. Приобрести можно прямо в боте, введя команду /buy_hours. Или нажав на кнопку в меню «Приобрести индивидуальное занятие». После этого на Ваш аккаунт добавится индивидуального занятие. Чтобы его забронировать, потребуется нажать в меню на кнопку «Забронировать индивидуальное занятие». Выбираете свободные слот и бронируете)"
48,"Добрый вечер Условие Пользователь вводит числа через пробел. Выведите сумму чисел, которые оканчиваются на 6 Входные данные 364 176 379 571 925 564 572 334 223 866 907 568 Выходные данные 1042 написал программу. проверил. все работает. но почему то бот не принимает",Добрый вечер! Можете пожалуйста отправить ваш код?
49,"a=list(map(int, input().split())) c=0 for i in range(len(a)): if a[i]%10==6: c+=a[i] if c==0: print(-1) else: print(c)","Ваше решение выглядит верным, отправьте пожалуйста ответ бота Сейчас взгляну детальнее"
50,❌ Подсказка пользователь ввел: 387 897 491 197 725 262 585 4 960 231 794 Где ошибка не пишет ❌ line 4 if a[i]%10==6: ^ SyntaxError: invalid non-printable character U+00A0,"Попробуйте убрать вывод -1, если чисел таких нет То есть просто выводите 0 в таком случае Дало результат?"
51,Да А почему так?,"Так как в данной задачи ничего не сказано про -1. Если чисел таких нет, то, соответственно, их сумма равна 0"
52,Понял помогите с задачей,"Доброе утро, отправьте ваш код пожалуйста Ваш код* Условие вижу"
53,"Задание 3 из 4 Условие Пользователь вводит последовательность чисел через пробел. Напишите программу, которая выведет элементы в порядке возрастания, встречающиеся один раз, через пробел Входные данные 5 5 1 9 3 3 1 1 4 3 Выходные данные 1 3 4 5 9 a = list(map(int, input().split())) c=[] for i in range(len(a)): c.append(a[i]) s = c.sort() r = set(a) print(str(r)[1:-1].replace("","",""""))",Отличное решение! Но в последней строчке можно написать print(*r)
54,"пробовал тоже не принимает a = list(map(int, input().split())) c=[] for i in range(len(a)): c.append(a[i]) s = c.sort() r = set(a) print(*r) Не могу понять","Пришлите, пожалуйста, что пишет бот?"
55,❌ Неверный ответ на тесте №7 ❌ Подсказка пользователь ввел: 7 6 1 8 8 много раз отправлял. все вермя пишет вот эти сообщения,"Пару минут, уточняю вопрос Ваш код для данный входных данных выводим неверный ответ Это происходит из-за того, что set является неупорядочным типом данных Потребуется сначала применить set, перевести его в лист и отсортировать"
56,"понял Пользователь вводит две последовательности одинаковой длины через пробел в двух строках, в первой строке наборы символов, во второй строке целые числа. Напишите программу, которая создаст словарь и добавит в него элементы, где ключи – это наборы символов из первой строки, а значения – числа из второй строки, по порядку. Выведите значения словаря теперь вот с этой помогите пожалуйста a = list(map(str, input().split())) b = list(map(int, input().split())) d=[] for i in range(len(a)): dict = {a[i]:b[i]} d.append(list(dict.values())) value каждой пары записываю в список. [[1], [2], [3]] выводится вот так. Как избавиться от квадратных скобок? print(*d) убирает только 1 и последнюю скобку",Вам нужно создать словарь вне цикла А затем добавлять элементы следующим образом имя_словаря[ключ] = значение И потом вывести имя_словаря.values()
57,"a = list(map(str, input().split())) b = list(map(int, input().split())) d={} for i in range(len(a)): d[a[i]]=b[i] print(d.values()) nfr& Так? dict_values([1, 2, 3]) вот так выводится","Да, только здесь потребуется вывести список из чисел через пробел. Поэтому последняя строчка будет выглядеть следующем образом: print(*list(d.values())) Здесь все значения словоря переводятся в список"
58,да. так и сделал. спасибо подписку на 1-2 часа нельзя продлевать?,"К сожалению, нет такой возможности"
59,Окей. Спасибо,"Алмаз, добрый вечер! 👋 Для улучшения работы сервиса INNOPROG , мы были бы очень рады услышать от вас обратную связь 😊 Не возникло ли у вас в процессе обучения трудностей взаимодействия с платформой? 🕹️ Планируете ли вы обучаться на нашей платформе дальше? Если нет, то также были бы рады получить от вас обратную связь 👨‍💻 Как вы оцениваете методику обучения на нашей платформе (от 1 до 10)? 🧠"
60,"Добрый вечер! Все классно. Методика обучения нравится. Баллы, звания, скидки, интенсивность дают все больше и больше желания решать задания. Бывают админы иногда долго отвечают. Есть задания, в которых условия задания и примеры данных для проверки не совсем корректны, точнее можно понять двояко. И мне кажется было бы лучше решать разнообразные задания, чем однообразные, например, с выводом наибольшего значения. Сразу после этой задачи идет задача с выводом наименьшего значения, т.е. один символ в коде поменять и задача решена Может только мне так, но после некоторых видео, остается много вопросов. Особенно со списками не совсем понятно было Однозначно буду учиться дальше у вас. Моментальная проверка решений - это супер Только сначала еще раз просмотрю непонятные темы, потом оформлю подписку изучать дальше 👍","Алмаз, благодарим вас за вашу подробную обратную связь, для нас это очень важно! Мы обязательно примем во внимание ваши предложения 👨‍💻😊"
61,"Добрый день. Программа ""питон продвинутый"" является продолжением программы ""питон начальный""? Или сначала идет повторение пройденного на ""питон начальном""?","Добрый день, Алмаз!👋 Модуль «Python продвинутый» является как продолжением программы «Python начальный», где вы познакомитесь и изучите большое количество новых элементов синтаксиса владения Python, так и будете совмещать пройденный материал с новыми практиками кода 👨‍💻"
62,Понял 👍,"То есть, в любом случае пройденный материал вы также будете использовать, но уже с более сложными элементами синтаксиса Python"
63,Хорошо. Понял А трудоустройство на стажировку когда? После прохождения всех модулей?,"Всё верно, мы отслеживаем ваш личный прогресс, после прохождения всех модулей Python, а также GIT и SQL, мы проводим с вами собеседование и определяемся с вами по направлению, в котором вы бы хотели развиваться как программист. Далее уже занимаемся подбором IT компании для вашей стажировки 😊"
64,Добрый вечер! Как разделить число на 2 части?,"Булат, добрый вечер! Возвращаемся к Вам с ответом на вопрос: "" не могу справиться с задачей. Не понятно, как разделить число на 2 части. "". Для этого Вам понадобится использую целочисленной деление (//) и остаток от деления (%) получить каждое число по отдельности. Например, если n = 518722 , то чтобы получить первую цифру вам потребуется n // 100000 , чтобы взять вторую, то n // 10000 % 10 и так далее. Существует такой лайфхак 123 / 10 = 12.3 123 // 10 = 12 (справа от точки) 123 % 10 = 3 (слева от точки) Булат, добрый вечер! Удалось разобраться с задачей?"
65,Добрый вечер! Можно подписку поставить на паузу на 1 сутки?,"Да, конечно Вам на какое время?"
66,До 20.00 24.09.2023,"Хорошо, но после этого, вы не сможете воспользоваться заморозкой тарифа в течении 30 дней"
67,Тогда не надо😊,"Лучше брать на более длительный период, так вы сможете сэкономить больше времени и средств. Данная система работает в нашей компании в связи с тем, чтобы не затягивать процесс обучения на более длительный срок, так как это чревато тем, что многие ученики бросают начатое 😉 Спасибо за понимание, с уважением команда INNOPROG 🤝"
68,"Добрый вечер! Вопрос по заданию Условие Пользователь вводит две строки. Напишите программу, которая будет выводить индекс первого вхождения первой строки во второй строке или выведет ""Error"", если такой строки нет Входные данные fn rkkdubmdfexawbpig Выходные данные Error Написал код: str1 = input() str2 = input() print(str2.index(str1)) но ответ не принимается. подскажите, пожалуйста, что неправильно сделал?","Добрый вечер! Вам потребуется здесь воспользоваться конструкцией if. Если подстроки str1 нет в str2, то выводить “Error”, иначе выводить индекс элемента. В данном случае программа будет выкидывать ошибку и не проходить все тесты Булат, добрый вечер! Возвращаемся с ответом на вопрос: Не получается заменить элементы с четным индексом. В данной задаче Вам потребуется в первую очередь достать элементы по честным индексам (0,2 и 4), дальше каждый элемент перевести в значение по таблице ASCII, используя команду ord() , а далее сложить все символы и вывести их на экран (важно не забыть перевести число в строку). То есть str(ord(a[0])) + a[1] + str(ord(a[2])) + … Напомним, что строка является НЕизменяемым типом данных Приносим свои извинения за поздний ответ Добрый вечер, Булат! Отвечаем на вопрос про список из строк и чисел. Для этого воспользуйтесь методом isdigit(), который возвращает True, если строка является числом. И эти элементы заносите в новый список"
69,"a = list(input().split()) b = [] if a[0].isdigit() == True: b = b.append(a[0]) elif a[1].isdigit() == True: b = b.append(a[1]) elif a[2].isdigit() == True: b = b.append(a[2]) elif a[3].isdigit() == True: b = b.append(a[3]) print(b) Добрый вечер! Не получается решить задачу. Посмотрите, пожалуйста, в правильном ли направлении я иду?",Добрый вечер! А в чём заключалась задача?
70,"Задание 9 из 9 Условие Пользователь вводит 4 элемента (целые числа или символы). Выведите только числа через пробел или пустую строку, если чисел нет Входные данные uru tf my3 40 Выходные данные 40","Да, направление верное, но есть пару моментов. 1. Если Вы используете конструкцию if, то важно проверить каждый элемент на то, является ли он числом. Тогда потребуется использовать не elif, а везде if. И комада append() ничего не возвращает, поэтому не нужно каждый раз присваивать её результат b 2. Так как в любом случае потребуется вывести какой-либо результат, то print(b) должен быть за пределом всех условных конструкций. Поэтому нужно удалить Tab 3. У Вас требуют в задаче вывести пустую строку, если не были найдены числа, поэтому в самом конце пограммы потребуется список перевести в строку и поставить пробелы через элементы. Один из вариантов этой сделать через команду join(). Ниже прикрепляю исправленный вариант программы: a = list(input().split()) b = [] if a[0].isdigit() == True: b.append(a[0]) if a[1].isdigit() == True: b.append(a[1]) if a[2].isdigit() == True: b.append(a[2]) if a[3].isdigit() == True: b.append(a[3]) if b == []: print("""") else: print("" "".join(b))"
71,"Добрый вечер! Вопрос по задаче Задание 1 из 5 Условие Пользователь вводит два числа в одной строке. Напишите программу, которая выводит все числа в промежутке от первого числа до второго (включительно) через пробел Входные данные 2 65 Выходные данные 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 Написал такой код: a = list(map(int, input().split())) b = [] while a[0] <= a[1]: b.append(a[0]) a[0] += 1 print(b, end = "" "") а как выводить результат через пробел?","Добрый вечер, Булат! Есть несколько вариантов. 1. Как вчера в задаче, использовать команду “ ”.join() 2. Можете использовать print(*b) Булат, здравствуйте! 👋 Возможно у вас возникли трудности в процессе обучения? Готовы помочь вам справиться со сложностями на индивидуальных занятиях 🧑‍💻"
72,"Здравствуйте! По обучению пока вопросов нет. Подписка закончилась. Новую возьму после выходных, т.к. в выходные нет возможности сидеть с ноутом😊","Спасибо за обратную связь! Если возникнут вопросы, обязательно обращайтесь"
73,"Хорошо, спасибо",Добрый день! Получили ваше сообщение с вопросом. А какую тему вы сейчас проходите?
74,14-2 Цикл for,"Замечательно! Представьте, что пользователь вводит числа через пробел. Вы ведь уже умеете получать список введённых чисел? Прямо как в этой прикрепленной задаче А теперь дело осталось за малым: нужно пройтись по полученному списку с помощью цикла, чтобы просмотреть каждый элемент этого списка. Если элемент нас устраивает (не равен 0), выводим его. А если элемент не устраивает - это 0 - прекращаем нашу проверку списка"
75,"Добрый вечер! Условие Пользователь вводит числа через пробел. Выведите введенные числа через пробел, пока не встретите ноль Входные данные 768 -506 690 -105 -980 838 0 940 924 293 353 361 Выходные данные 768 -506 690 -105 -980 838 по данной задаче написал код: a = list(map(int, input().split())) b = [] for i in a: if i != 0: b.append(i) i += 1 else: break print(b, end = "" "") но ответ не принимается. А что я не так делаю? вроде по тестам все правильно выводит. Спасибо","Добрый вечер, Булат! Ваша программа в результате для входных данных как в примере выводит верные значения, но только в квадратных скобках и с запятыми. А в тестах принимается без них. В данной задаче будет лучше не сохранять в список, а выводить данные сразу"
76,"ааа, скобки не заметил. Все понял, спасибо) Подтолкните, пожалуйста. С циклами вообще не очень получается. Условие Пользователь вводит числа с новой строки. Выведите введенные числа через пробел, пока не встретите ноль Входные данные -1 0 1 Выходные данные -1","В данном случае лучше использовать цикл while. То есть наша задача считывать число, проверять его на ноль. И пока число не ноль, выводить его и заново считывать число. Вот небольшая заготовка кода : a = … while a != 0: print(a) a = …"
77,"a = int(input()) while a != 0: print(a) a = int(input()) if a == 0: break Добрый вечер! Подскажите, пожалуйста, что не так написал? ответ не принимается. Условие Пользователь вводит числа с новой строки. Выведите введенные числа через пробел, пока не встретите ноль Входные данные -1 0 1 Выходные данные -1",Добрый вечер! Какую ошибку выдает?
78,ошибок нет. в телеграме ответ не принимается неверный ответ на тесте №2,"Сейчас уточню, одну секунду Обратите внимание, требуется выводить числа через пробел"
79,Так и должно выводиться?,"Выглядит верно, проверьте в боте"
80,"да, ответ принят. Спасибо Условие Пользователь вводит числа через пробел. С этой последовательностью проводят следующие оперции: первое число складывают со вторым, из результата вычитают третье, потом еще раз складывают со следующим и так до конца. Выведите результат выражения. Например, в программу подаются числа 10, 3, 4 ,9. Результатом выражения будет 10+3-4+9=18 Входные данные 10 3 4 9 Выходные данные 18 Написал такой код: a = list(map(int, input().split())) b = 0 for i in a: b = a[0] + a[1] b = b - a[2] b = b + a[3] print(b) для теста №1 верно. Но как сделать так, чтоб без a[0], a[1] и тд. суммировалось и вычиталось?","Здесь надо пробегаться по списку (как Вы и делаете) и опираться на индекс i. Вначале b присвоить первому элементу списка a. Далее, начиная с индекса 1, проверять, если индекс нечетный, то вычитать ( b -= a[i] ), если четный, то прибавлять ( b += a[i]) Получается констукция следующая for i in range(1, len(a)):"
81,"Добрый вечер! Все равно не получается с задачей a = list(map(int, input().split())) b = a[0] for i in range(1, len(a)): if i % 2 != 0: b -= a[i] elif i % 2 == 0: b += a[i] print(b) Пользователь вводит числа через пробел. С этой последовательностью проводят следующие оперции: первое число складывают со вторым, из результата вычитают третье, потом еще раз складывают со следующим и так до конца. Выведите результат выражения. Например, в программу подаются числа 10, 3, 4 ,9. Результатом выражения будет 10+3-4+9=18 Входные данные 10 3 4 9 Выходные данные 18 помогите, пожалуйста почему уже изначально b = 7? хотя должно быть равно 10 Все, разобрался. Надо было если нечетный, то прибавлять, и наоборот. ""Далее, начиная с индекса 1, проверять, если индекс нечетный, то вычитать ( b -= a[i] ), если четный, то прибавлять ( b += a[i]) ""","Да, все верно. Приносим свои извинения за недоразумение"
82,"это хорошо, зато я сам разобрался👍🏻 почти😁 Возник еще 1 вопрос. Почему-то когда пишу так print( “ ”.join(b) ) выходит ошибка, а если писать print(*b) , то результат выводится как надо. a = list(map(int, input().split())) b = [] for i in range(0, len(a)): b.append(a[i]) if a[i] % 13 == 0: break print(*b)","Команда join() работает только в том случае, если элементы внутри списка являются строками ( str ). В данной задачи это тип данных int , поэтому и вылетает ошибка ""ожидаемый экземпляр str, найдено int"""
83,"Т.е. если тип данных int, то всегда использовать *b?","Со списком строк тоже можно использовать звездочку, но все зависит от задачи"
84,"Т.е. если надо выводить без квадратных скобок, то *b это универсальный вариант. Я правильно понимаю?",Все верно
85,"Добрый вечер! Не совсем понятна задача: Условие Пользователь вводит последовательность чисел через пробел. Напишите программу, которая выведет элементы в порядке возрастания, встречающиеся один раз, через пробел Входные данные 5 5 1 9 3 3 1 1 4 3 Выходные данные 1 3 4 5 9 Вроде сортирует, удаляет повторяющиеся, а в итоге выводит совсем не то","Добрый вечер! Ваша программа выглядит верной, что именно не то она выводит?"
